assisted_living_facility,assisted_living_facility_label,city,County,latitude,longitude,beds,no_substantiated_complaints,sanctions_final_orders,fines,total_deficiencies,class_1,class_2,class_3,class_4,unclassified
Plaza At Parksquare,Plaza At Parksquare,Aventura,Miami-Dade,25.966,-80.1431,150,14,10,227000,47,6,10,29,0,2
Sterling Aventura,Sterling Aventura,Aventura,Miami-Dade,25.9464,-80.145,171,14,17,137375,44,5,6,29,1,3
"Greenleaf Assisted Living, Llc",Greenleaf Assisted Living,Kissimmee,Osceola,28.2928,-81.4093,75,5,6,4125,24,5,1,14,3,1
Cottages Of Bradenton Home Alf Llc,Cottages Of Bradenton Home ALF,Bradenton,Manatee,27.4396,-82.5348,85,21,2,1500,47,5,4,34,1,3
Courtyard Plaza,Courtyard Plaza,North Miami Beach,Miami-Dade,25.9175,-80.2041,120,11,12,44000,47,4,7,32,3,1
Oasis At Boynton Beach Assisted Living,Oasis At Boynton Beach Assisted Living,Boynton Beach,Palm Beach,26.5435,-80.0581,90,7,4,41000,20,4,1,13,1,1
Northpointe Retirement Community,Northpointe Retirement Community,Pensacola,Escambia,30.5077,-87.1676,100,5,5,30500,11,4,0,6,1,0
Pacifica Senior Living Fort Myers,Pacifica Senior Living Fort Myers,Fort Myers,Lee,26.5104,-81.9142,70,8,6,5000,28,4,1,20,3,0
Noble Senior Living At Pensacola,Noble Senior Living At Pensacola,Pensacola,Escambia,30.4427,-87.2835,64,12,10,63974,49,3,4,39,1,2
Woodmont Senior Living,Woodmont Senior Living,Tallahassee,Leon,30.4875,-84.3146,99,9,5,60000,33,3,4,22,1,3
Angel Care Assisted Living Facility,Angel Care Assisted Living Facility,Saint Petersburg,Pinellas,27.7287,-82.6761,82,26,15,58500,46,3,4,35,1,3
Pacifica Senior Living Of Belleair,Pacifica Senior Living Of Belleair,Clearwater,Pinellas,27.9395,-82.7972,98,15,18,54000,39,3,2,30,2,2
