business_name,city,county,state,latitude,longitude,location_type,partial_match
1 Kind Home,Miami,Miami-Dade,florida,25.7646095,-80.2141402,ROOFTOP,True
A & C God Bless Assisted Living Facility,Palm Bay,Brevard,florida,28.0344621,-80.5886646,APPROXIMATE,True
A & C Living Faith Home,Palm Bay,Brevard,florida,28.0344621,-80.5886646,APPROXIMATE,True
A & J Alf Of Florida Ii,Palm Bay,Brevard,florida,27.9335094,-80.6385874,ROOFTOP,True
A & L Health Care Corp No. 2,Coral Springs,Broward,florida,26.2500187,-80.25246829999999,ROOFTOP,True
A & L Healthcare Corp.,Coral Springs,Broward,florida,26.271192,-80.2706044,APPROXIMATE,True
A & M @ Eber Springs,Melbourne,Brevard,florida,28.1355868,-80.66520059999999,ROOFTOP,True
A & M Assisted Living Facility,Palm Bay,Brevard,florida,28.0344621,-80.5886646,APPROXIMATE,True
A & M Assisted Living Facility Ii,West Melbourne,Brevard,florida,28.0716832,-80.65338779999999,APPROXIMATE,True
A Banyan Residence,Venice,Sarasota,florida,27.079218,-82.443936,ROOFTOP,True
A Banyan Residence At Wildwood,Oxford,Sumter,florida,28.939156,-82.01616419999999,ROOFTOP,True
A Bella Vita Place Assisted Living,Delray Beach,Palm Beach,florida,26.4700582,-80.0963685,ROOFTOP,True
A Bethel Loving Care Of The Treasure Coast,Port Saint Lucie,St. Lucie,florida,27.2783926,-80.3562192,ROOFTOP,True
A Comfort Living,North Miami,Miami-Dade,florida,25.8974041,-80.22666339999999,ROOFTOP,True
A Compassionate Care Assisted Living Residence,Wellington,Palm Beach,florida,26.6713935,-80.2323274,ROOFTOP,True
A Country Place Assisted Living Facility,Tampa,Hillsborough,florida,28.0130145,-82.6007686,ROOFTOP,True
A Gentle Hand Alf At Lantana,Lantana,Palm Beach,florida,26.5867358,-80.05198589999999,APPROXIMATE,True
A Gentle Hand At Wellington,Wellington,Palm Beach,florida,26.6617635,-80.2683571,APPROXIMATE,True
A Home Away From Home Alf,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
A Kee To Paradise,Port Saint Lucie,St. Lucie,florida,27.3458833,-80.36519299999999,ROOFTOP,True
A La My Love Alf,Tampa,Hillsborough,florida,27.9911018,-82.4417655,ROOFTOP,True
A Life Of Love Alf,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
A Lovely Home Care By Gt,Miami,Miami-Dade,florida,25.8172378,-80.32498129999999,ROOFTOP,True
A Loving Family Alf,Vero Beach,Indian River,florida,27.6018568,-80.4014967,ROOFTOP,True
A Loving Hand Facility Care,Port Saint Lucie,St. Lucie,florida,27.3228202,-80.36364429999999,ROOFTOP,True
A Loving Home Enterprises.,Miami,Miami-Dade,florida,25.8037627,-80.21008549999999,ROOFTOP,True
A Paradise Home Alf Ii,West Palm Beach,Palm Beach,florida,26.671193,-80.2129377,ROOFTOP,True
A Piedra Alf,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
A Place Like Home Alf,Palm Bay,Brevard,florida,28.0154435,-80.5920067,ROOFTOP,True
A Place To Rest Assisted Living Facility,Kissimmee,Osceola,florida,28.2919557,-81.40757099999999,APPROXIMATE,True
A Quaint Meadow,Lake Worth,Palm Beach,florida,26.6155611,-80.1647337,ROOFTOP,True
A Senior Living Dream,Homestead,Miami-Dade,florida,25.4687224,-80.4775569,APPROXIMATE,True
A Sweet Alf.,Hialeah,Miami-Dade,florida,25.8743823,-80.26956469999999,ROOFTOP,True
A Touch Of Class #1 Adult Care,Port St Lucie,St. Lucie,florida,27.2728927,-80.3425444,ROOFTOP,True
A Touch Of Class Adult Care,Port Saint Lucie,St. Lucie,florida,27.3329536,-80.35825229999999,ROOFTOP,True
A Tropical Paradise Alf,Saint Petersburg,Pinellas,florida,27.7923877,-82.7048472,ROOFTOP,True
A&D Tender Loving Care,Pompano Beach,Broward,florida,26.2370259,-80.166062,ROOFTOP,True
A&J Assisted Living Facility,Palm Bay,Brevard,florida,27.9335094,-80.6385874,ROOFTOP,True
A+ Senior Home,Miami,Miami-Dade,florida,25.7929777,-80.243403,ROOFTOP,True
A-1 Assisted Living Facility,Miami,Miami-Dade,florida,25.7771513,-80.24986369999999,ROOFTOP,True
A1 Senior Living,Deerfield Beach,Broward,florida,26.2824187,-80.12128899999999,ROOFTOP,True
A1A Care Center,Hialeah,Miami-Dade,florida,25.8519376,-80.2952865,ROOFTOP,True
Aasbury Manor Alf,Orlando,Orange,florida,28.6079956,-81.40928989999999,ROOFTOP,True
Abaco House Alf,Palm Springs,Palm Beach,florida,26.6295975,-80.0927182,GEOMETRIC_CENTER,True
Abbey Delray Assisted Living And Memory Care,Delray Beach,Palm Beach,florida,26.44538,-80.09388,ROOFTOP,True
Abbey'S Caring Residence,Hollywood,Broward,florida,26.0112014,-80.1494901,APPROXIMATE,True
Abide N Love,Palm Bay,Brevard,florida,28.0344621,-80.5886646,APPROXIMATE,True
Abigail (The),Tampa,Hillsborough,florida,27.950575,-82.4571776,APPROXIMATE,True
Above The Rest Assisted Living Facility,Palm Bay,Brevard,florida,27.936167,-80.6257986,ROOFTOP,True
Absolute Care Residence,Sunrise,Broward,florida,26.1705846,-80.2710634,ROOFTOP,True
Abuelas Retirement Home,Miami,Miami-Dade,florida,25.7289108,-80.31677409999999,ROOFTOP,True
Abuelitas Home,Miami,Miami-Dade,florida,25.7289108,-80.31677409999999,ROOFTOP,True
Abuelo Eusebio Alf Corporation,Homestead,Miami-Dade,florida,25.5542771,-80.37363409999999,ROOFTOP,True
Abuelo Feliz Home 2,Tampa,Hillsborough,florida,27.9663182,-82.4982064,ROOFTOP,True
Abuelo Feliz Home,Tampa,Hillsborough,florida,27.9663182,-82.4982064,ROOFTOP,True
Abuelos Alf,Miami,Miami-Dade,florida,25.7654693,-80.3106406,ROOFTOP,True
Abuelo'S Ana Alf,Tampa,Hillsborough,florida,27.9911018,-82.4417655,ROOFTOP,True
Acacia Grove Assisted Living Facility,Orange Park,Clay,florida,30.1440478,-81.7722541,ROOFTOP,True
Academy Assisted Living Facility,Fort Pierce,St. Lucie,florida,27.4350316,-80.34610599999999,ROOFTOP,True
Acc Sunshine,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Accordia Woods,Palm Harbor,Pinellas,florida,28.0492946,-82.7514862,ROOFTOP,True
Achoy Assisted Living,Hialeah,Miami-Dade,florida,25.8575963,-80.2781057,APPROXIMATE,True
Active Assisted Living,Brandon,Hillsborough,florida,27.9343427,-82.283597,ROOFTOP,True
Active Senior Living Residence,Tamarac,Broward,florida,26.1954665,-80.2708976,ROOFTOP,True
Ada Alf,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
Ada Retirement Home,Miami,Miami-Dade,florida,25.75083,-80.2284751,ROOFTOP,True
Adam F/F,Hialeah,Miami-Dade,florida,25.8575963,-80.2781057,APPROXIMATE,True
Adam Home # 2.,Hialeah,Miami-Dade,florida,25.8311047,-80.2853507,ROOFTOP,True
Adams Retirement Home.,Fort Lauderdale,Broward,florida,26.1157739,-80.198556,ROOFTOP,True
Addington Place At College Harbor,Saint Petersburg,Pinellas,florida,27.7177482,-82.69627469999999,ROOFTOP,True
Addington Place Jupiter,Jupiter,Palm Beach,florida,26.9087685,-80.1132398,ROOFTOP,True
Addington Place Of East Lake,Tarpon Springs,Pinellas,florida,28.1179074,-82.6938308,ROOFTOP,True
Addington Place Of Titusville,Titusville,Brevard,florida,28.620548,-80.8162813,ROOFTOP,True
Addington Place Stuart,Stuart,Martin,florida,27.163639,-80.2356789,ROOFTOP,True
Adela'S Gardens Alf,Miami,Miami-Dade,florida,25.8082809,-80.2588272,ROOFTOP,True
Adoring Ranches,Southwest Ranches,Broward,florida,26.0441352,-80.33759859999999,APPROXIMATE,True
Adult Care Of Miami,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Adult Home Care,Saint Petersburg,Pinellas,florida,27.7614374,-82.69825480000002,ROOFTOP,True
Adult Leisure Living,Miami Gardens,Miami-Dade,florida,25.918085,-80.238657,ROOFTOP,True
Advantage Senior Living Facility,Fort Lauderdale,Broward,florida,26.1006038,-80.21246719999999,ROOFTOP,True
Advent Square,Boca Raton,Palm Beach,florida,26.3917284,-80.0802006,ROOFTOP,True
Afh Senior Care Coconut Creek,Coconut Creek,Broward,florida,26.3212258,-80.2048319,ROOFTOP,True
Afh Senior Care Coral Springs,Coral Springs,Broward,florida,26.2701135,-80.2854105,ROOFTOP,True
Afh Senior Care Parkland,Parkland,Broward,florida,26.3212258,-80.2048319,ROOFTOP,True
Afh Senior Care Plantation,Plantation,Broward,florida,26.1275862,-80.23310359999999,APPROXIMATE,True
Afh Senior Care Pompano Beach,Pompano Beach,Broward,florida,26.2827644,-80.09720039999999,ROOFTOP,True
Aging Home Paradise,Kissimmee,Osceola,florida,28.3235627,-81.3690214,ROOFTOP,True
Aging World Alf,Miami,Miami-Dade,florida,25.7731794,-80.1878988,ROOFTOP,True
Aging World Of Westchester Alf,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
Aguila Adult Care Center,Tampa,Hillsborough,florida,27.9752312,-82.48868759999999,ROOFTOP,True
Aguila Adult Care Center Ii,Tampa,Hillsborough,florida,27.9752312,-82.48868759999999,ROOFTOP,True
Aguila Assisted Living Facility,Tampa,Hillsborough,florida,27.9752312,-82.48868759999999,ROOFTOP,True
Aiden Springs,Winter Park,Orange,florida,28.621788,-81.2839279,ROOFTOP,True
Alabama Oaks Of Winter Park,Winter Park,Orange,florida,28.6103621,-81.3393614,ROOFTOP,True
Alba Court Residences,New Smyrna Beach,Volusia,florida,29.027602,-80.923596,ROOFTOP,True
Alborada Alf,Tampa,Hillsborough,florida,28.0018064,-82.48159969999999,ROOFTOP,True
Alborada Alf,Tampa,Hillsborough,florida,28.0018064,-82.48159969999999,ROOFTOP,True
Alborada Family Home Alf,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
Aldara Home,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Aldea Green,Brandon,Hillsborough,florida,27.9280299,-82.2952507,ROOFTOP,True
Alder Terrace Gardens,Punta Gorda,Charlotte,florida,26.9925246,-81.950524,GEOMETRIC_CENTER,False
Alderman Oaks Retirement Center,Sarasota,Sarasota,florida,27.3361443,-82.5464338,ROOFTOP,True
Alea Assisted Living Facilities,Lauderhill,Broward,florida,26.1403635,-80.2133808,APPROXIMATE,True
Alegria Alf,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
Alelea Alf,Miami,Miami-Dade,florida,25.7592549,-80.392487,ROOFTOP,True
Aleman'S Family Home Corp,Miami,Miami-Dade,florida,25.7937998,-80.3396365,ROOFTOP,True
Alexa (The),Tampa,Hillsborough,florida,27.950575,-82.4571776,APPROXIMATE,True
Alf Family Care Corp,Miami,Miami-Dade,florida,25.7631928,-80.3104592,ROOFTOP,True
Alf Family Care Ii Corp,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Alf Family Palace Corp.,Hialeah,Miami-Dade,florida,25.8575963,-80.2781057,APPROXIMATE,True
Alf Family Solution Corp,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
Alf Home Assisted Living Plus More,West Palm Beach,Palm Beach,florida,26.7153424,-80.0533746,APPROXIMATE,True
Alf Kayla'S Place,Miami,Miami-Dade,florida,25.7771513,-80.24986369999999,ROOFTOP,True
Alf Lucia,Miami,Miami-Dade,florida,25.7686022,-80.26408839999999,ROOFTOP,True
Alf Management And Professional Services,Miami,Miami-Dade,florida,25.7616798,-80.1917902,APPROXIMATE,True
