nursing_home,nursing_home_label,city,region,county,latitude,longitude,overall_inspection,quality_of_care,quality_of_life,administration,nutrition_and_hydration,restraints_and_abuse,pressure_ulcers,decline,dignity
Athens Post Acute,Athens Post Acute,Deland,Region 4,Volusia,29.021206,-81.3132879,_____,_____,_____,_____,_____,_____,_____,_____,_____
Boca Ciega Center,Boca Ciega Center,Gulfport,Region 5,Pinellas,27.7560671,-82.7137144,_____,_____,_____,_____,_____,_____,_____,_____,_____
Braden River Rehabilitation Center Llc,Braden River Rehabilitation Center Llc,Bradenton,Region 6,Manatee,27.4952022,-82.5392131,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Encore At Boca Raton Rehabilitation And Nursing Center, Llc, The",Encore At Boca Raton Rehabilitation And Nursing Center,Boca Raton,Region 9,Palm Beach,26.3525845,-80.1591545,_____,_____,_____,_____,_____,_____,_____,_____,_____
Evergreen Woods,Evergreen Woods,Spring Hill,Region 3,Hernando,28.5300348,-82.5183096,_____,_____,_____,_____,_____,_____,_____,_____,_____
Gardens Care Center,Gardens Care Center,Miami,Region 11,Miami-Dade,25.9498036,-80.1975903,_____,_____,_____,_____,_____,_____,_____,_____,_____
Gulf Shore Care Center,Gulf Shore Care Center,Pinellas Park,Region 5,Pinellas,27.851252,-82.731983,_____,_____,_____,_____,_____,_____,_____,_____,_____
Hillcrest Health Care And Rehabilitation Center,Hillcrest Health Care And Rehabilitation Center,Hollywood,Region 10,Broward,26.002666,-80.18608,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lake Port Square Health Center,Lake Port Square Health Center,Leesburg,Region 3,Lake,28.8049609,-81.8619433,_____,_____,_____,_____,_____,_____,_____,_____,_____
Living Center Of St. Petersburg,Living Center Of St. Petersburg,Seminole,Region 5,Pinellas,27.839699,-82.76895,_____,_____,_____,_____,_____,_____,_____,_____,_____
Martin Nursing And Rehabilitation,Martin Nursing And Rehabilitation,Stuart,Region 9,Martin,27.1321298,-80.2237897,_____,_____,_____,_____,_____,_____,_____,_____,_____
Page Rehabilitation And Healthcare Center,Page Rehabilitation And Healthcare Center,Fort Myers,Region 8,Lee,26.5943944,-81.8662055,_____,_____,_____,_____,_____,_____,_____,_____,_____
Pompano Health And Rehabilitation Center,Pompano Health And Rehabilitation Center,Pompano Beach,Region 10,Broward,26.2763465,-80.1238491,_____,_____,_____,_____,_____,_____,_____,_____,_____
Promedica Skilled Nursing And Rehabilitation (Lely Palms),Promedica Skilled Nursing And Rehabilitation (Lely Palms),Naples,Region 8,Collier,26.1087893,-81.7132366,_____,_____,_____,_____,_____,_____,_____,_____,_____
Raydiant Health Care Of Jacksonville,Raydiant Health Care Of Jacksonville,Jacksonville,Region 4,Duval,30.257473,-81.585754,_____,_____,_____,_____,_____,_____,_____,_____,_____
Sea Breeze Rehab And Nursing Center,Sea Breeze Rehab And Nursing Center,Vero Beach,Region 9,Indian River,27.6597184,-80.4005949,_____,_____,_____,_____,_____,_____,_____,_____,_____
Unity Healthcare And Rehabilitation Center,Unity Healthcare And Rehabilitation Center,Miami,Region 11,Miami-Dade,25.7318528,-80.3349318,_____,_____,_____,_____,_____,_____,_____,_____,_____
Ventura Health And Rehabilitation Center,Ventura Health And Rehabilitation Center,Boynton Beach,Region 9,Palm Beach,26.5229515,-80.1703876,_____,_____,_____,_____,_____,_____,_____,_____,_____
Whispering Oaks,Whispering Oaks,Tampa,Region 6,Hillsborough,27.985558,-82.4419992,_____,_____,_____,_____,_____,_____,_____,_____,_____
Winter Haven Health And Rehabilitation Center,Winter Haven Health And Rehabilitation Center,Winter Haven,Region 6,Polk,28.036065,-81.7249721,_____,_____,_____,_____,_____,_____,_____,_____,_____
Woodbridge Care Center,Woodbridge Care Center,Tampa,Region 6,Hillsborough,28.0008115,-82.5801947,_____,_____,_____,_____,_____,_____,_____,_____,_____
Brookwood Gardens Rehabilitation And Nursing Center,Brookwood Gardens Rehabilitation And Nursing Center,Homestead,Region 11,Miami-Dade,25.5009442,-80.5546996,_____,_____,_____,_____,_____,_____,_____,_____,_____
Coral Reef Subacute Care Center Llc,Coral Reef Subacute Care Center Llc,Miami,Region 11,Miami-Dade,25.6307385,-80.3528747,_____,_____,_____,_____,_____,_____,_____,_____,_____
Destination Health And Rehabilitation Center,Destination Health And Rehabilitation Center,Destin,Region 1,Okaloosa,30.3927226,-86.4703902,_____,_____,_____,_____,_____,_____,_____,_____,_____
Finnish-American Village,Finnish-American Village,Lake Worth,Region 9,Palm Beach,26.5906677,-80.0715179,_____,_____,_____,_____,_____,_____,_____,_____,_____
Fort Pierce Health Care,Fort Pierce Health Care,Fort Pierce,Region 9,St. Lucie,27.4421037,-80.3373604,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lakeside Health Center,Lakeside Health Center,West Palm Beach,Region 9,Palm Beach,26.735377,-80.067746,_____,_____,_____,_____,_____,_____,_____,_____,_____
Luxe At Jupiter Rehabilitation Center (The),Luxe At Jupiter Rehabilitation Center (The),Jupiter,Region 9,Palm Beach,26.8880603,-80.1084235,_____,_____,_____,_____,_____,_____,_____,_____,_____
Luxe At Wellington Rehabilitation Center (The),Luxe At Wellington Rehabilitation Center (The),Wellington,Region 9,Palm Beach,26.6399539,-80.2081414,_____,_____,_____,_____,_____,_____,_____,_____,_____
Naples Health And Rehabilitation Center,Naples Health And Rehabilitation Center,Naples,Region 8,Collier,26.1807847,-81.7952451,_____,_____,_____,_____,_____,_____,_____,_____,_____
