nursing_home_label,city,county,state,latitude,longitude,location_type,partial_match
Athens Post Acute,Deland,Volusia,florida,29.021206,-81.31328789999999,ROOFTOP,True
Boca Ciega Center,Gulfport,Pinellas,florida,27.7560671,-82.7137144,ROOFTOP,True
Braden River Rehabilitation Center Llc,Bradenton,Manatee,florida,27.4952022,-82.5392131,ROOFTOP,True
Encore At Boca Raton Rehabilitation And Nursing Center,Boca Raton,Palm Beach,florida,26.3525845,-80.1591545,ROOFTOP,True
Evergreen Woods,Spring Hill,Hernando,florida,28.5300348,-82.5183096,GEOMETRIC_CENTER,False
Gandy Fl Opco,Tampa,Hillsborough,florida,27.8649148,-82.6218866,APPROXIMATE,True
Gardens Care Center,Miami,Miami-Dade,florida,25.9498036,-80.1975903,ROOFTOP,False
Gulf Shore Care Center,Pinellas Park,Pinellas,florida,27.851252,-82.731983,ROOFTOP,True
Hillcrest Health Care And Rehabilitation Center,Hollywood,Broward,florida,26.002666,-80.18607999999999,ROOFTOP,True
Lake Port Square Health Center,Leesburg,Lake,florida,28.8049609,-81.8619433,ROOFTOP,True
Living Center Of St. Petersburg,Seminole,Pinellas,florida,27.839699,-82.76894999999999,ROOFTOP,True
Martin Nursing And Rehabilitation,Stuart,Martin,florida,27.1321298,-80.2237897,ROOFTOP,True
Miami Springs Nursing And Rehabilitation Center,Miami Springs,Miami-Dade,florida,25.8223198,-80.289495,APPROXIMATE,True
North Healthcare And Rehabilitation Center,Saint Petersburg,Pinellas,florida,27.7676008,-82.64029149999999,APPROXIMATE,True
Page Rehabilitation And Healthcare Center,Fort Myers,Lee,florida,26.5943944,-81.86620549999999,ROOFTOP,True
Palms Nursing And Rehab At Port St. Lucie,Port Saint Lucie,St. Lucie,florida,27.264821,-80.41113100000001,GEOMETRIC_CENTER,True
Pompano Health And Rehabilitation Center,Pompano Beach,Broward,florida,26.2763465,-80.1238491,ROOFTOP,True
Promedica Skilled Nursing And Rehabilitation (Lely Palms),Naples,Collier,florida,26.1087893,-81.7132366,ROOFTOP,True
Raydiant Health Care Of Jacksonville,Jacksonville,Duval,florida,30.257473,-81.585754,ROOFTOP,True
Sea Breeze Rehab And Nursing Center,Vero Beach,Indian River,florida,27.6597184,-80.4005949,ROOFTOP,True
Unity Healthcare And Rehabilitation Center,Miami,Miami-Dade,florida,25.7318528,-80.33493179999999,ROOFTOP,True
Ventura Health And Rehabilitation Center,Boynton Beach,Palm Beach,florida,26.5229515,-80.1703876,ROOFTOP,True
Whispering Oaks,Tampa,Hillsborough,florida,27.985558,-82.4419992,ROOFTOP,True
Wilton Manors Healthcare & Rehabilitation Center,Wilton Manors,Broward,florida,26.1603626,-80.13893399999999,APPROXIMATE,True
Winter Haven Health And Rehabilitation Center,Winter Haven,Polk,florida,28.036065,-81.7249721,ROOFTOP,True
Woodbridge Care Center,Tampa,Hillsborough,florida,28.0008115,-82.58019469999999,ROOFTOP,True
Brookwood Gardens Rehabilitation And Nursing Center,Homestead,Miami-Dade,florida,25.5009442,-80.55469959999999,ROOFTOP,True
Coral Reef Subacute Care Center Llc,Miami,Miami-Dade,florida,25.6307385,-80.3528747,ROOFTOP,True
Destination Health And Rehabilitation Center,Destin,Okaloosa,florida,30.3927226,-86.4703902,ROOFTOP,True
Finnish-American Village,Lake Worth,Palm Beach,florida,26.5906677,-80.0715179,ROOFTOP,True
Fort Pierce Health Care,Fort Pierce,St. Lucie,florida,27.4421037,-80.3373604,ROOFTOP,True
Lakeside Health Center,West Palm Beach,Palm Beach,florida,26.735377,-80.067746,ROOFTOP,True
Luxe At Jupiter Rehabilitation Center (The),Jupiter,Palm Beach,florida,26.8880603,-80.1084235,ROOFTOP,True
Luxe At Wellington Rehabilitation Center (The),Wellington,Palm Beach,florida,26.6399539,-80.2081414,ROOFTOP,True
Naples Health And Rehabilitation Center,Naples,Collier,florida,26.1807847,-81.7952451,ROOFTOP,True
