state,2010_rate_per_100m_vehicle_miles_traveled,2020_rate_per_100m_vehicle_miles_traveled,change
District of Columbia,0.67,1.19,0.776119403
Oregon,0.94,1.57,0.670212766
California,0.84,1.28,0.523809524
Illinois,0.88,1.27,0.443181818
Colorado,0.96,1.28,0.333333333
Washington,0.8,1.04,0.3
Michigan,0.97,1.25,0.288659794
Florida,1.25,1.6,0.28
Georgia,1.12,1.43,0.276785714
Maryland,0.88,1.11,0.261363636
Arizona,1.27,1.6,0.25984252
Virginia,0.9,1.12,0.244444444
Delaware,1.13,1.39,0.230088496
Ohio,0.97,1.19,0.226804124
Nebraska,0.98,1.2,0.224489796
New Mexico,1.38,1.68,0.217391304
Rhode Island,0.81,0.98,0.209876543
South Carolina,1.65,1.97,0.193939394
Mississippi,1.61,1.9,0.180124224
Missouri,1.16,1.36,0.172413793
Indiana,1,1.17,0.17
New Jersey,0.76,0.88,0.157894737
Texas,1.29,1.49,0.15503876
Maine,1.11,1.25,0.126126126
North Carolina,1.29,1.45,0.124031008
Wisconsin,0.96,1.07,0.114583333
New York,0.92,1.02,0.108695652
Oklahoma,1.4,1.55,0.107142857
Arkansas,1.7,1.88,0.105882353
Nevada,1.16,1.26,0.086206897
Tennessee,1.47,1.59,0.081632653
Louisiana,1.59,1.71,0.075471698
Kentucky,1.58,1.68,0.063291139
Kansas,1.44,1.53,0.0625
Vermont,0.98,1.03,0.051020408
Montana,1.69,1.76,0.041420118
Minnesota,0.73,0.76,0.04109589
Alaska,1.17,1.21,0.034188034
Alabama,1.34,1.38,0.029850746
West Virginia,1.64,1.66,0.012195122
Massachusetts,0.64,0.63,-0.015625
Connecticut,1.02,0.99,-0.029411765
Pennsylvania,1.32,1.28,-0.03030303
Utah,0.95,0.91,-0.042105263
Idaho,1.32,1.23,-0.068181818
South Dakota,1.58,1.45,-0.082278481
Iowa,1.24,1.13,-0.088709677
North Dakota,1.27,1.14,-0.102362205
New Hampshire,0.98,0.87,-0.112244898
Hawaii,1.13,0.97,-0.14159292
Wyoming,1.66,1.3,-0.21686747
