ST_CASE,STATENAME,LATITUDE,LONGITUD,FATALS,V_CONFIGNAME,year,,,,
490001,Utah,37.66614722,-113.062525,1,Not Applicable,2021,,,,
490002,Utah,40.70470556,-111.8911778,1,Unknown,2021,,,,
490004,Utah,41.71211389,-112.1502917,1,Not Applicable,2021,,,,
490004,Utah,41.71211389,-112.1502917,1,Not Applicable,2021,,,,
490004,Utah,41.71211389,-112.1502917,1,Not Applicable,2021,,,,
490005,Utah,40.53864167,-112.2983472,1,Not Applicable,2021,,,,
490006,Utah,40.70078056,-111.9170889,1,Not Applicable,2021,,,,
490007,Utah,40.26787222,-111.6821278,1,Not Applicable,2021,,,,
490007,Utah,40.26787222,-111.6821278,1,Not Applicable,2021,,,,
490008,Utah,38.27818333,-112.6503611,1,Not Applicable,2021,,,,
490008,Utah,38.27818333,-112.6503611,1,Not Applicable,2021,,,,
490009,Utah,40.32616111,-111.7444194,1,Not Applicable,2021,,,,
490010,Utah,40.65327222,-112.0450056,2,Not Applicable,2021,,,,
490010,Utah,40.65327222,-112.0450056,2,Not Applicable,2021,,,,
490011,Utah,40.97447222,-111.8947167,1,Not Applicable,2021,,,,
490012,Utah,40.68238889,-111.9363417,1,Not Applicable,2021,,,,
490012,Utah,40.68238889,-111.9363417,1,Not Applicable,2021,,,,
490013,Utah,38.93688333,-110.4646444,1,Not Applicable,2021,,,,
490014,Utah,40.44114167,-111.4878306,1,Not Applicable,2021,,,,
490014,Utah,40.44114167,-111.4878306,1,Not Applicable,2021,,,,
490014,Utah,40.44114167,-111.4878306,1,Not Applicable,2021,,,,
490015,Utah,40.76058889,-111.8970444,1,Unknown,2021,,,,
490016,Utah,40.75641667,-113.0231694,2,Not Applicable,2021,,,,
490016,Utah,40.75641667,-113.0231694,2,Not Applicable,2021,,,,
490017,Utah,40.58302778,-111.8998444,1,Not Applicable,2021,,,,
490017,Utah,40.58302778,-111.8998444,1,Not Applicable,2021,,,,
490017,Utah,40.58302778,-111.8998444,1,Not Applicable,2021,,,,
490018,Utah,40.24799167,-109.9665944,1,Not Applicable,2021,,,,
490019,Utah,41.10352778,-112.0038528,1,Not Applicable,2021,,,,
490022,Utah,39.26395,-111.6444861,2,Not Applicable,2021,,,,
490022,Utah,39.26395,-111.6444861,2,Not Applicable,2021,,,,
490023,Utah,40.21851944,-111.6686556,1,Not Applicable,2021,,,,
490023,Utah,40.21851944,-111.6686556,1,Truck Tractor/Semi-Trailer,2021,,,,
490024,Utah,37.08326944,-113.5824028,1,Not Applicable,2021,,,,
490024,Utah,37.08326944,-113.5824028,1,Not Applicable,2021,,,,
490025,Utah,40.28278889,-111.2355806,1,Not Applicable,2021,,,,
490025,Utah,40.28278889,-111.2355806,1,Truck Pulling Trailer(s),2021,,,,
490026,Utah,41.10348333,-111.9794056,1,Not Applicable,2021,,,,
490026,Utah,41.10348333,-111.9794056,1,Not Applicable,2021,,,,
490027,Utah,37.12139444,-113.6237778,1,Not Applicable,2021,,,,
490027,Utah,37.12139444,-113.6237778,1,Not Applicable,2021,,,,
490028,Utah,40.25723333,-111.6617778,1,Not Applicable,2021,,,,
490029,Utah,40.75890556,-111.9131167,1,Not Applicable,2021,,,,
490030,Utah,40.73139167,-111.8911083,1,Unknown,2021,,,,
490030,Utah,40.73139167,-111.8911083,1,Unknown,2021,,,,
490031,Utah,41.58160556,-111.9250917,1,Not Applicable,2021,,,,
490032,Utah,41.21448056,-111.9789972,1,Not Applicable,2021,,,,
490034,Utah,39.54255,-110.6874694,1,Not Applicable,2021,,,,
490035,Utah,40.64705833,-111.8546611,1,Not Applicable,2021,,,,
490036,Utah,37.17637778,-113.3278056,1,Not Applicable,2021,,,,
490037,Utah,41.96546111,-113.0559861,1,Not Applicable,2021,,,,
490038,Utah,40.23936667,-111.6432167,1,Not Applicable,2021,,,,
490038,Utah,40.23936667,-111.6432167,1,Not Applicable,2021,,,,
490039,Utah,40.58773889,-111.9229556,1,Not Applicable,2021,,,,
490039,Utah,40.58773889,-111.9229556,1,Not Applicable,2021,,,,
490039,Utah,40.58773889,-111.9229556,1,Not Applicable,2021,,,,
490039,Utah,40.58773889,-111.9229556,1,Not Applicable,2021,,,,
490040,Utah,40.76070556,-111.9389444,1,Not Applicable,2021,,,,
490040,Utah,40.76070556,-111.9389444,1,Not Applicable,2021,,,,
490041,Utah,37.18403056,-113.2821139,1,Not Applicable,2021,,,,
490042,Utah,40.37339722,-111.8443833,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490042,Utah,40.37339722,-111.8443833,1,Not Applicable,2021,,,,
490043,Utah,41.83949167,-112.1472417,1,Not Applicable,2021,,,,
490044,Utah,37.51855278,-112.4960167,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490045,Utah,40.6233,-111.7506222,1,Not Applicable,2021,,,,
490045,Utah,40.6233,-111.7506222,1,Not Applicable,2021,,,,
490046,Utah,40.611325,-112.2943167,1,Not Applicable,2021,,,,
490046,Utah,40.611325,-112.2943167,1,Not Applicable,2021,,,,
490047,Utah,40.7496,-111.9650333,1,Not Applicable,2021,,,,
490047,Utah,40.7496,-111.9650333,1,Not Applicable,2021,,,,
490048,Utah,40.74163333,-111.8712444,1,Not Applicable,2021,,,,
490048,Utah,40.74163333,-111.8712444,1,Not Applicable,2021,,,,
490049,Utah,40.38321111,-111.8193833,1,Not Applicable,2021,,,,
490050,Utah,37.12491667,-111.9761556,1,Not Applicable,2021,,,,
490050,Utah,37.12491667,-111.9761556,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490051,Utah,41.08925833,-112.0262167,1,Not Applicable,2021,,,,
490051,Utah,41.08925833,-112.0262167,1,Not Applicable,2021,,,,
490051,Utah,41.08925833,-112.0262167,1,Not Applicable,2021,,,,
490052,Utah,38.05882222,-112.6953667,1,Not Applicable,2021,,,,
490052,Utah,38.05882222,-112.6953667,1,Not Applicable,2021,,,,
490052,Utah,38.05882222,-112.6953667,1,Not Applicable,2021,,,,
490054,Utah,38.75041389,-112.5708222,1,Not Applicable,2021,,,,
490054,Utah,38.75041389,-112.5708222,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490055,Utah,40.75632222,-111.8767389,1,Not Applicable,2021,,,,
490056,Utah,40.43168611,-111.8211722,1,Not Applicable,2021,,,,
490056,Utah,40.43168611,-111.8211722,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490057,Utah,40.52611667,-111.9388806,1,Not Applicable,2021,,,,
490058,Utah,40.30458611,-111.6982278,1,Not Applicable,2021,,,,
490058,Utah,40.30458611,-111.6982278,1,Not Applicable,2021,,,,
490058,Utah,40.30458611,-111.6982278,1,Not Applicable,2021,,,,
490058,Utah,40.30458611,-111.6982278,1,Not Applicable,2021,,,,
490059,Utah,40.74098611,-111.61005,1,Not Applicable,2021,,,,
490060,Utah,41.34148889,-112.0376333,2,Not Applicable,2021,,,,
490060,Utah,41.34148889,-112.0376333,2,Not Applicable,2021,,,,
490061,Utah,39.11458889,-112.7418139,1,Not Applicable,2021,,,,
490062,Utah,40.888275,-111.4014944,1,Truck Pulling Trailer(s),2021,,,,
490063,Utah,40.62212778,-111.8657972,1,Not Applicable,2021,,,,
490064,Utah,40.70806667,-111.9772778,1,Not Applicable,2021,,,,
490065,Utah,40.51691111,-111.8915278,1,Not Applicable,2021,,,,
490065,Utah,40.51691111,-111.8915278,1,Not Applicable,2021,,,,
490066,Utah,40.70323056,-111.2813278,1,Not Applicable,2021,,,,
490067,Utah,38.60235278,-112.5063278,1,Not Applicable,2021,,,,
490068,Utah,40.19896667,-110.7791167,2,Not Applicable,2021,,,,
490069,Utah,39.02026667,-112.303875,1,Not Applicable,2021,,,,
490069,Utah,39.02026667,-112.303875,1,Truck Tractor/Double,2021,,,,
490070,Utah,37.23071111,-113.2812472,1,Not Applicable,2021,,,,
490071,Utah,39.01160833,-112.3088583,1,Truck Pulling Trailer(s),2021,,,,
490072,Utah,39.52385556,-113.9614306,3,Not Applicable,2021,,,,
490073,Utah,40.51591111,-111.4128222,1,Not Applicable,2021,,,,
490073,Utah,40.51591111,-111.4128222,1,Not Applicable,2021,,,,
490074,Utah,38.95616389,-112.3292167,1,Not Applicable,2021,,,,
490074,Utah,38.95616389,-112.3292167,1,Not Applicable,2021,,,,
490075,Utah,40.69666944,-112.0206389,1,Not Applicable,2021,,,,
490076,Utah,41.81243333,-111.6248333,1,Not Applicable,2021,,,,
490077,Utah,40.16478611,-111.6070611,1,Not Applicable,2021,,,,
490079,Utah,40.7407,-111.9390028,1,Not Applicable,2021,,,,
490080,Utah,40.14351111,-111.7303889,1,Not Applicable,2021,,,,
490081,Utah,41.28004444,-111.6578056,1,Not Applicable,2021,,,,
490082,Utah,38.31277778,-112.3958333,1,Single-Unit Truck (3 or more axles),2021,,,,
490083,Utah,40.49611944,-111.0365722,1,Not Applicable,2021,,,,
490084,Utah,39.88401667,-111.048025,1,Not Applicable,2021,,,,
490086,Utah,37.59844444,-112.9295,1,Not Applicable,2021,,,,
490088,Utah,40.58786944,-112.0292667,1,Not Applicable,2021,,,,
490088,Utah,40.58786944,-112.0292667,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021,,,,
490089,Utah,41.15781389,-111.9623722,1,Not Applicable,2021,,,,
490090,Utah,40.39937778,-111.9192333,1,Not Applicable,2021,,,,
490090,Utah,40.39937778,-111.9192333,1,Not Applicable,2021,,,,
490091,Utah,37.2256,-113.4433,1,Not Applicable,2021,,,,
490092,Utah,40.54184167,-111.8912944,1,Not Applicable,2021,,,,
490093,Utah,40.5562,-112.2744806,1,Not Applicable,2021,,,,
490094,Utah,41.24731389,-111.9547667,1,Not Applicable,2021,,,,
490095,Utah,39.94768056,-112.1298806,1,Not Applicable,2021,,,,
490095,Utah,39.94768056,-112.1298806,1,Truck Pulling Trailer(s),2021,,,,
490096,Utah,40.77705278,-111.9393667,1,Not Applicable,2021,,,,
490096,Utah,40.77705278,-111.9393667,1,Not Applicable,2021,,,,
490096,Utah,40.77705278,-111.9393667,1,Not Applicable,2021,,,,
490097,Utah,40.78261111,-111.7186056,1,Not Applicable,2021,,,,
490098,Utah,40.25648611,-111.6724056,1,Not Applicable,2021,,,,
490099,Utah,37.65514167,-113.086,1,Not Applicable,2021,,,,
490099,Utah,37.65514167,-113.086,1,Not Applicable,2021,,,,
490100,Utah,41.89559167,-111.8149333,1,Not Applicable,2021,,,,
490100,Utah,41.89559167,-111.8149333,1,"Qualifying Vehicle, Unknown Configuration",2021,,,,
490100,Utah,41.89559167,-111.8149333,1,Not Applicable,2021,,,,
490101,Utah,40.72098333,-112.0249028,2,Not Applicable,2021,,,,
490101,Utah,40.72098333,-112.0249028,2,Not Applicable,2021,,,,
490102,Utah,40.730925,-113.5027389,1,Not Applicable,2021,,,,
