ST_CASE,STATENAME,LATITUDE,LONGITUD,FATALS,V_CONFIGNAME,year
490023,Utah,40.21851944,-111.6686556,1,Truck Tractor/Semi-Trailer,2021
490025,Utah,40.28278889,-111.2355806,1,Truck Pulling Trailer(s),2021
490042,Utah,40.37339722,-111.8443833,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021
490044,Utah,37.51855278,-112.4960167,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021
490050,Utah,37.12491667,-111.9761556,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021
490054,Utah,38.75041389,-112.5708222,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021
490056,Utah,40.43168611,-111.8211722,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021
490062,Utah,40.888275,-111.4014944,1,Truck Pulling Trailer(s),2021
490069,Utah,39.02026667,-112.303875,1,Truck Tractor/Double,2021
490071,Utah,39.01160833,-112.3088583,1,Truck Pulling Trailer(s),2021
490082,Utah,38.31277778,-112.3958333,1,Single-Unit Truck (3 or more axles),2021
490088,Utah,40.58786944,-112.0292667,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021
490095,Utah,39.94768056,-112.1298806,1,Truck Pulling Trailer(s),2021
490104,Utah,37.22566389,-113.2818083,1,Truck Tractor/Semi-Trailer,2021
490106,Utah,38.97181944,-111.1809917,1,Single-Unit Truck (3 or more axles),2021
490109,Utah,41.24875,-111.8866,1,Truck Pulling Trailer(s),2021
490111,Utah,40.592425,-111.9020472,1,Truck Tractor/Semi-Trailer,2021
490111,Utah,40.592425,-111.9020472,1,Truck Tractor/Semi-Trailer,2021
490120,Utah,39.73118611,-110.8702556,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021
490120,Utah,39.73118611,-110.8702556,1,Truck Tractor/Semi-Trailer,2021
490121,Utah,41.76551389,-111.8585028,1,Single-Unit Truck (3 or more axles),2021
490127,Utah,41.26865833,-112.0283111,1,Truck Tractor/Semi-Trailer,2021
490128,Utah,40.74273889,-112.6315833,1,Truck Pulling Trailer(s),2021
490130,Utah,40.53583333,-111.4104472,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021
490144,Utah,40.21461389,-110.2184722,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021
490146,Utah,37.450125,-113.2292278,1,Truck Tractor/Semi-Trailer,2021
490149,Utah,39.31125,-110.9644167,1,Truck Tractor/Double,2021
490150,Utah,40.73248056,-113.5695472,1,Truck Tractor/Semi-Trailer,2021
490157,Utah,40.71888056,-112.0631722,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2021
