ST_CASE,CITY,DAY,MONTH,YEAR,HOUR,ROUTE,LATITUDE,LONGITUD,REL_ROAD,FATALS,HARM_EV,TWAY_ID,BODY_TYP_1,BODY_TYP_2,BODY_TYP_3,BODY_TYP_4,BODY_TYP_5,BODY_TYP_1_TEXT,BODY_TYP_2_TEXT,BODY_TYP_3_TEXT,BODY_TYP_4_TEXT,BODY_TYP_5_TEXT,HARM_EV_TEXT
490163,0,5,10,2013,6,3,37.15536667,-109.0520694,99,1,1,SR-162,31,,,,,Pickup truck,,,,,Rollover
490144,0,9,5,2019,23,4,37.31277778,-109.0671694,4,1,1,CR-TRADING POST WAY,4,,,,,Car,,,,,Rollover
490300,45,12,6,2021,22,3,37.16114167,-109.0678361,4,1,1,SR-162,34,,,,,Pickup truck,,,,,Rollover
490137,896,2,8,2018,9,3,38.32981944,-109.0896806,2,1,1,SR-46,63,,,,,Heavy truck,,,,,Rollover
490233,245,9,10,2019,10,1,39.18815,-109.1102306,4,2,59,I-70,4,,,,,Car,,,,,Hit object
490285,245,24,12,2021,10,1,39.18777222,-109.1112611,4,1,42,I-70,16,,,,,SUV,,,,,Hit object
490231,1200,15,6,2020,13,4,37.87486667,-109.1176861,4,1,34,CR-313,34,,,,,Pickup truck,,,,,Hit ditch
490089,0,3,7,2014,6,4,37.35231111,-109.125775,4,1,34,CR-413,80,,,,,Motorcycle,,,,,Hit ditch
490207,45,6,9,2017,12,4,37.21956944,-109.1280278,99,1,1,CR-461,99,,,,,Other,,,,,Rollover
490252,245,4,11,2022,7,1,39.17349167,-109.1288167,8,1,42,I-70,34,,,,,Pickup truck,,,,,Hit object
490229,1205,8,10,2019,99,4,37.29342222,-109.1326417,1,1,8,CR-420,99,,,,,Other,,,,,Hit pedestrian
490305,1200,21,12,2022,15,2,37.84352222,-109.1361917,1,1,12,US-491,21,14,,,,Van,SUV,,,,Hit other vehicle
490189,45,2,8,2018,16,3,37.19416667,-109.1434056,1,1,12,SR-162,4,80,,,,Car,Motorcycle,,,,Hit other vehicle
490179,9997,11,12,2019,9,1,39.12495556,-109.1676139,4,1,1,I-70,4,,,,,Car,,,,,Rollover
490217,1925,31,10,2021,1,1,39.12355556,-109.1701639,1,1,12,I-70,14,62,,,,SUV,Heavy truck,,,,Hit other vehicle
490080,45,25,5,2018,15,3,37.20985833,-109.1707083,4,1,55,SR-162,61,34,,,,Heavy truck,Pickup truck,,,,
490169,0,26,8,2015,14,2,40.30065278,-109.1947611,1,1,12,US-40,30,31,31,,,Pickup truck,Pickup truck,Pickup truck,,,Hit other vehicle
490142,45,5,7,2017,20,4,37.23679722,-109.2258333,4,1,1,CR-405,20,,,,,Van,,,,,Rollover
490255,0,11,11,2016,14,4,37.38819722,-109.2261472,99,1,1,CR-401,99,,,,,Other,,,,,Rollover
490214,45,25,8,2016,13,3,37.23759167,-109.2288028,99,1,1,SR-162,80,,,,,Motorcycle,,,,,Rollover
490273,1195,8,5,2022,9,5,37.36411944,-109.2334,4,1,1,CAJON MESA ROAD,34,,,,,Pickup truck,,,,,Rollover
