dataId,type,route,county,location,description,startTime,anticipatedEndTime,lastUpdated,extraColumn,latitude,longitude
UT-Incident--172586,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right shoulder
Est. Clearance Time: 5:45 PM","12/22/23, 3:35 PM","12/22/23, 5:45 PM","12/22/23, 5:09 PM",,40.722344,-111.904691
UT-Incident--172619,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 9:05 AM","12/23/23, 8:06 AM","12/23/23, 9:05 AM",,,40.722344,-111.904691
UT-Incident--172880,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 on SR-201 on Collector (2100 S) Salt Lake Co.
Left Shoulder
Est. Clearance Time: 10:45 AM","12/31/23, 9:18 AM","12/31/23, 10:45 AM","12/31/23, 9:18 AM",,40.722344,-111.904691
UT-Incident--172919,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 8:30 AM","1/2/24, 7:27 AM","1/2/24, 8:30 AM","1/2/24, 7:27 AM",View on map,40.722344,-111.904691
UT-Incident--173325,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 8:15 AM","1/8/24, 7:18 AM","1/8/24, 8:15 AM","1/8/24, 7:19 AM",View on map,40.722344,-111.904691
UT-Incident--173525,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 Off Ramp (2100 S) Salt Lake Co.
Est. Clearance Time: 7:11 PM","1/10/24, 6:12 PM","1/10/24, 7:11 PM",,,40.722344,-111.904691
UT-Incident--173697,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
Center Lane Closed
Est. Clearance Time: 5:00 PM","1/12/24, 3:57 PM","1/12/24, 5:00 PM",,,40.722344,-111.904691
UT-Incident--173741,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 Col to EB I-80 (MP 305), Salt Lake Co.
Left Lane Closed
Est. Clearance Time: 1:53 AM","1/13/24, 12:55 AM","1/13/24, 1:53 AM",,,40.722344,-111.904691
UT-Incident--174124,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 4:48 PM","1/17/24, 3:51 PM","1/17/24, 4:48 PM","1/17/24, 3:51 PM",,40.722344,-111.904691
UT-Incident--174392,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 12:15 PM","1/24/24, 11:16 AM","1/24/24, 12:15 PM","1/24/24, 11:16 AM",,40.722344,-111.904691
UT-Incident--174556,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Stalled Vehicle
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 9:05 PM","1/27/24, 8:06 PM","1/27/24, 9:05 PM","1/27/24, 8:06 PM",,40.722344,-111.904691
UT-Incident--174579,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Lane Closure
NB I-15 at MP 305 (2100 S to 700 S) Salt Lake Co.
3 Right Lanes Closed
Est. Clearance Time: 1/29/2024 3:15 AM","1/28/24, 10:46 PM","1/29/24, 3:15 AM","1/28/24, 10:46 PM",,40.722344,-111.904691
UT-Incident--175045,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
2 Left Lanes Closed
Est. Clearance Time: 12:00 PM","2/7/24, 10:59 AM","2/7/24, 12:00 PM","2/7/24, 10:59 AM",,40.722344,-111.904691
UT-Incident--175272,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 7:35 PM","2/9/24, 6:23 PM","2/9/24, 7:35 PM","2/9/24, 6:23 PM",,40.722344,-111.904691
UT-Incident--175507,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Lane Closed
Est. Clearance Time: 7:13 AM","2/16/24, 6:14 AM","2/16/24, 7:13 AM",,,40.722344,-111.904691
UT-Incident--175530,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
Left Shoulder
Est. Clearance Time: 5:15 PM","2/16/24, 4:11 PM","2/16/24, 5:15 PM","2/16/24, 4:11 PM",,40.722344,-111.904691
UT-Incident--175785,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Left Shoulder
Est. Clearance Time: 5:30 PM","2/22/24, 4:32 PM","2/22/24, 5:30 PM","2/22/24, 4:32 PM",,40.722344,-111.904691
UT-Incident--175921,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 4:02 AM","2/27/24, 3:04 AM","2/27/24, 4:02 AM","2/27/24, 3:04 AM",,40.722344,-111.904691
UT-Incident--176345,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
2 Right Lanes Closed
Est. Clearance Time: 8:27 PM","3/4/24, 7:27 PM","3/4/24, 8:27 PM","3/4/24, 7:28 PM",,40.722344,-111.904691
UT-Incident--176366,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Left Shoulder
Est. Clearance Time: 5:35 PM","3/5/24, 4:22 PM","3/5/24, 5:35 PM","3/5/24, 4:22 PM",,40.722344,-111.904691
UT-Incident--176687,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (1300 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 1:09 PM","3/13/24, 12:10 PM","3/13/24, 1:09 PM","3/13/24, 12:10 PM",,40.722344,-111.904691
UT-Incident--176798,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Center Lane Closed
Est. Clearance Time: 5:35 PM","3/16/24, 4:26 PM","3/16/24, 5:35 PM","3/16/24, 4:26 PM",,40.722344,-111.904691
UT-Incident--176802,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Left Shoulder
Est. Clearance Time: 6:35 PM","3/16/24, 5:30 PM","3/16/24, 6:35 PM","3/16/24, 5:30 PM",,40.722344,-111.904691
