route,county,location,time,latitude,longitude,type
US 40,Wasatch County,US 40 at MP 9,"1/10/24, 1:18 PM",40.615495,-111.433889,Crash
Hwy 39,Weber County,Hwy 39 5576,"1/10/24, 1:30 PM",41.25212,-111.804141,Crash
US 40,Wasatch County,US 40 at MP 9,"1/10/24, 1:38 PM",40.615495,-111.433889,Crash
I-15,Salt Lake County,I-15 at MP 309,"1/10/24, 1:49 PM",40.777705,-111.910735,Crash
US 89,Sanpete County,US 89 23321,"1/10/24, 1:59 PM",39.618768,-111.440905,Crash
I-80,Tooele County,I-80 at MP 85,"1/10/24, 10:10 PM",40.703193,-112.499976,Lane Closure
I-15,Utah County,I-15 at MP 257,"1/10/24, 10:13 PM",40.122652,-111.658929,Crash
I-215 W,Salt Lake County,I-215 W at MP 21,"1/10/24, 10:25 PM",40.746426,-111.949053,Crash
US 91,Cache County,US 91 at MP 11,"1/10/24, 10:28 AM",41.562271,-111.962763,Crash
I-15,Salt Lake County,I-15 at MP 298,"1/10/24, 10:39 PM",40.621691,-111.903876,Crash
I-15,Salt Lake County,I-15 at MP 299,"1/10/24, 10:41 PM",40.63583,-111.905066,Crash
I-80 EB X115 OFF BANGERTER NB RAMP,Salt Lake County,I-80 EB X115 OFF BANGERTER NB RAMP at BANGERTER NB HWY,"1/10/24, 10:42 AM",40.763074,-111.986661,Crash
HWY 201,Salt Lake County,HWY 201 at 900 W,"1/10/24, 10:56 PM",40.724732,-111.926352,Crash
BANGERTER SB HWY,Salt Lake County,BANGERTER SB HWY at I-80 EB FWY,"1/10/24, 11:02 PM",40.763051,-111.986978,Crash
US 40,Wasatch County,US 40 at MP 11,"1/10/24, 11:09 AM",40.588743,-111.436969,Crash
I-215 S,Salt Lake County,I-215 S at MP 10,"1/10/24, 11:19 PM",40.63036,-111.877391,Crash
I-15,Box Elder County,I-15 at MP 385,"1/10/24, 11:21 AM",41.78057,-112.173474,Crash
I-80,Salt Lake County,I-80 at MP 115,"1/10/24, 11:21 PM",40.765165,-111.991516,Crash
I-15,Box Elder County,I-15 at MP 385,"1/10/24, 11:29 AM",41.78057,-112.173474,Crash
